Username,Password,Email,Student ID,Full Name
student001,pass001,student001@example.com,202400001,Student Number1
student002,pass002,student002@example.com,202400002,Student Number2
student003,pass003,student003@example.com,202400003,Student Number3
student004,pass004,student004@example.com,202400004,Student Number4
student005,pass005,student005@example.com,202400005,Student Number5
student006,pass006,student006@example.com,202400006,Student Number6
student007,pass007,student007@example.com,202400007,Student Number7
student008,pass008,student008@example.com,202400008,Student Number8
student009,pass009,student009@example.com,202400009,Student Number9
student010,pass010,student010@example.com,202400010,Student Number10
student011,pass011,student011@example.com,202400011,Student Number11
student012,pass012,student012@example.com,202400012,Student Number12
student013,pass013,student013@example.com,202400013,Student Number13
student014,pass014,student014@example.com,202400014,Student Number14
student015,pass015,student015@example.com,202400015,Student Number15
student016,pass016,student016@example.com,202400016,Student Number16
student017,pass017,student017@example.com,202400017,Student Number17
student018,pass018,student018@example.com,202400018,Student Number18
student019,pass019,student019@example.com,202400019,Student Number19
student020,pass020,student020@example.com,202400020,Student Number20
student021,pass021,student021@example.com,202400021,Student Number21
student022,pass022,student022@example.com,202400022,Student Number22
student023,pass023,student023@example.com,202400023,Student Number23
student024,pass024,student024@example.com,202400024,Student Number24
student025,pass025,student025@example.com,202400025,Student Number25
student026,pass026,student026@example.com,202400026,Student Number26
student027,pass027,student027@example.com,202400027,Student Number27
student028,pass028,student028@example.com,202400028,Student Number28
student029,pass029,student029@example.com,202400029,Student Number29
student030,pass030,student030@example.com,202400030,Student Number30
student031,pass031,student031@example.com,202400031,Student Number31
student032,pass032,student032@example.com,202400032,Student Number32
student033,pass033,student033@example.com,202400033,Student Number33
student034,pass034,student034@example.com,202400034,Student Number34
student035,pass035,student035@example.com,202400035,Student Number35
student036,pass036,student036@example.com,202400036,Student Number36
student037,pass037,student037@example.com,202400037,Student Number37
student038,pass038,student038@example.com,202400038,Student Number38
student039,pass039,student039@example.com,202400039,Student Number39
student040,pass040,student040@example.com,202400040,Student Number40
student041,pass041,student041@example.com,202400041,Student Number41
student042,pass042,student042@example.com,202400042,Student Number42
student043,pass043,student043@example.com,202400043,Student Number43
student044,pass044,student044@example.com,202400044,Student Number44
student045,pass045,student045@example.com,202400045,Student Number45
student046,pass046,student046@example.com,202400046,Student Number46
student047,pass047,student047@example.com,202400047,Student Number47
student048,pass048,student048@example.com,202400048,Student Number48
student049,pass049,student049@example.com,202400049,Student Number49
student050,pass050,student050@example.com,202400050,Student Number50
